Country;HS Number;Date from;Date to;Lang 1;Desc 1;Desc 2;Desc 3;Desc 4;Desc 5;Desc 6;Desc 7;Lang 2;Desc 21;Desc 22;Desc 23;Desc 24;Desc 25;Desc 26;Desc 27;Unit of measure;Restriction code;Rate type;Champ24;Champ25;Base rate %;Rate amount;Rate curr;Rate qty;Rate qty uom;Spec App;Cert Ori;Cty Grp
CA;9303209011;20240101;99991231;EN;Arms and ammunition. parts and accessories thereof---Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).---Other sporting, hunting or target-shooting shotguns, including combination shotgun-rifles---Other---Shotguns, single barrel:. Semi-automatic;;;;;;;ES;Arms and ammunition. parts and accessories thereof---Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).---Other sporting, hunting or target-shooting shotguns, including combination shotgun-rifles---Other---Shotguns, single barrel:. Semi-automatic;;;;;;;NMB;;PDR;20240101;99991231;3.5;0;;;;;;
CA;9303209019;20240101;99991231;EN;Arms and ammunition. parts and accessories thereof---Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).---Other sporting, hunting or target-shooting shotguns, including combination shotgun-rifles---Other---Shotguns, single barrel:. Other;;;;;;;ES;Arms and ammunition. parts and accessories thereof---Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).---Other sporting, hunting or target-shooting shotguns, including combination shotgun-rifles---Other---Shotguns, single barrel:. Other;;;;;;;NMB;;PDR;20240101;99991231;3.5;0;;;;;;
CA;9303209090;20240101;99991231;EN;Arms and ammunition. parts and accessories thereof---Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).---Other sporting, hunting or target-shooting shotguns, including combination shotgun-rifles---Other---Other;;;;;;;ES;Arms and ammunition. parts and accessories thereof---Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).---Other sporting, hunting or target-shooting shotguns, including combination shotgun-rifles---Other---Other;;;;;;;NMB;;PDR;20240101;99991231;3.5;0;;;;;;
CA;9303301000;20240101;99991231;EN;Arms and ammunition. parts and accessories thereof---Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).---Other sporting, hunting or target-shooting rifles---Bolt-action or semi-automatic .22 calibre rimfire rifles, excluding target shooting rifles;;;;;;;ES;Arms and ammunition. parts and accessories thereof---Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).---Other sporting, hunting or target-shooting rifles---Bolt-action or semi-automatic .22 calibre rimfire rifles, excluding target shooting rifles;;;;;;;NMB;;PDR;20240101;99991231;7;0;;;;;;
CA;9303309011;20240101;99991231;EN;Arms and ammunition. parts and accessories thereof---Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).---Other sporting, hunting or target-shooting rifles---Other---Centrefire rifles:. Bolt-action repeater;;;;;;;ES;Arms and ammunition. parts and accessories thereof---Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).---Other sporting, hunting or target-shooting rifles---Other---Centrefire rifles:. Bolt-action repeater;;;;;;;NMB;;PDR;20240101;99991231;3.5;0;;;;;;
CA;9303309014;20240101;99991231;EN;Arms and ammunition. parts and accessories thereof---Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).---Other sporting, hunting or target-shooting rifles---Other---Centrefire rifles:. Semi-automatic;;;;;;;ES;Arms and ammunition. parts and accessories thereof---Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).---Other sporting, hunting or target-shooting rifles---Other---Centrefire rifles:. Semi-automatic;;;;;;;NMB;;PDR;20240101;99991231;3.5;0;;;;;;
CA;9303309019;20240101;99991231;EN;Arms and ammunition. parts and accessories thereof---Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).---Other sporting, hunting or target-shooting rifles---Other---Centrefire rifles:. Other;;;;;;;ES;Arms and ammunition. parts and accessories thereof---Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).---Other sporting, hunting or target-shooting rifles---Other---Centrefire rifles:. Other;;;;;;;NMB;;PDR;20240101;99991231;3.5;0;;;;;;
CA;9303309090;20240101;99991231;EN;Arms and ammunition. parts and accessories thereof---Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).---Other sporting, hunting or target-shooting rifles---Other---Other;;;;;;;ES;Arms and ammunition. parts and accessories thereof---Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).---Other sporting, hunting or target-shooting rifles---Other---Other;;;;;;;NMB;;PDR;20240101;99991231;3.5;0;;;;;;
CA;9303901000;20240101;99991231;EN;Arms and ammunition. parts and accessories thereof---Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).---Other---Apparatus for the destruction of predatory animals by the discharge of poisonous cartridges.Automatic explosive bird-scaring devices;;;;;;;ES;Arms and ammunition. parts and accessories thereof---Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).---Other---Apparatus for the destruction of predatory animals by the discharge of poisonous cartridges.Automatic explosive bird-scaring devices;;;;;;;NMB;;PDR;20240101;99991231;0;0;;;;;;
CA;9303909000;20240101;99991231;EN;Arms and ammunition. parts and accessories thereof---Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).---Other---Other;;;;;;;ES;Arms and ammunition. parts and accessories thereof---Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).---Other---Other;;;;;;;NMB;;PDR;20240101;99991231;3.5;0;;;;;;
