Country;HS Number;Date from;Date to;Lang 1;Desc 1;Desc 2;Desc 3;Desc 4;Desc 5;Desc 6;Desc 7;Lang 2;Desc 21;Desc 22;Desc 23;Desc 24;Desc 25;Desc 26;Desc 27;Unit of measure;Restriction code;Rate type;Champ24;Champ25;Base rate %;Rate amount;Rate curr;Rate qty;Rate qty uom;Spec App;Cert Ori;Cty Grp
MX;281390;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Sulphides of non-metals. commercial phosphorus trisulphide.---Other---Other;;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Sulphides of non-metals. commercial phosphorus trisulphide.---Other---Other;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;281410;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Ammonia, anhydrous or in aqueous solution.------Anhydrous ammonia;;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Ammonia, anhydrous or in aqueous solution.------Anhydrous ammonia;;;;;;;L;;_DMX11;20240101;99991231;0;0;;;;;;
MX;281420;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Ammonia, anhydrous or in aqueous solution.------Ammonia in aqueous solution;;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Ammonia, anhydrous or in aqueous solution.------Ammonia in aqueous solution;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;281511;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Sodium hydroxide (caustic soda). potassium hydroxide (caustic potash). peroxides of sodium or potassium.---Sodium hydroxide (caustic soda):------Solid;;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Sodium hydroxide (caustic soda). potassium hydroxide (caustic potash). peroxides of sodium or potassium.---Sodium hydroxide (caustic soda):------Solid;;;;;;;KG;;_DMX11;20240101;99991231;5;0;;;;;;
MX;281512;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Sodium hydroxide (caustic soda). potassium hydroxide (caustic potash). peroxides of sodium or potassium.---Sodium hydroxide (caustic soda):------In aqueous solution (soda lye or liquid soda);;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Sodium hydroxide (caustic soda). potassium hydroxide (caustic potash). peroxides of sodium or potassium.---Sodium hydroxide (caustic soda):------In aqueous solution (soda lye or liquid soda);;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;281520;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Sodium hydroxide (caustic soda). potassium hydroxide (caustic potash). peroxides of sodium or potassium.---Potassium hydroxide (caustic potash)---Liquid potassium hydroxide (caustic potash)---Potassium hydroxide (caustic potash).;;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Sodium hydroxide (caustic soda). potassium hydroxide (caustic potash). peroxides of sodium or potassium.---Potassium hydroxide (caustic potash)---Liquid potassium hydroxide (caustic potash)---Potassium hydroxide (caustic potash).;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;281530;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Sodium hydroxide (caustic soda). potassium hydroxide (caustic potash). peroxides of sodium or potassium.------Peroxides of sodium or potassium;;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Sodium hydroxide (caustic soda). potassium hydroxide (caustic potash). peroxides of sodium or potassium.------Peroxides of sodium or potassium;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;281610;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Hydroxide and peroxide of magnesium. oxides, hydroxides and peroxides, of strontium or barium.------Hydroxide and peroxide of magnesium;;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Hydroxide and peroxide of magnesium. oxides, hydroxides and peroxides, of strontium or barium.------Hydroxide and peroxide of magnesium;;;;;;;KG;;_DMX11;20240101;99991231;7;0;;;;;;
MX;281640;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Hydroxide and peroxide of magnesium. oxides, hydroxides and peroxides, of strontium or barium.------Oxides, hydroxides and peroxides, of strontium or barium;;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Hydroxide and peroxide of magnesium. oxides, hydroxides and peroxides, of strontium or barium.------Oxides, hydroxides and peroxides, of strontium or barium;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;281700;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Zinc oxide. zinc peroxide.---Zinc oxide. zinc peroxide.---Zinc oxides;;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Zinc oxide. zinc peroxide.---Zinc oxide. zinc peroxide.---Zinc oxides;;;;;;;KG;;_DMX11;20240101;99991231;5;0;;;;;;
MX;281810;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Artificial corundum, whether or not chemically defined. aluminium oxide. aluminium hydroxide.------Artificial corundum, whether or not chemically defined---Artificial brown corundum;;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Artificial corundum, whether or not chemically defined. aluminium oxide. aluminium hydroxide.------Artificial corundum, whether or not chemically defined---Artificial brown corundum;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;281820;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Artificial corundum, whether or not chemically defined. aluminium oxide. aluminium hydroxide.------Aluminium oxide, other than artificial corundum---Aluminum oxide;;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Artificial corundum, whether or not chemically defined. aluminium oxide. aluminium hydroxide.------Aluminium oxide, other than artificial corundum---Aluminum oxide;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;281830;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Artificial corundum, whether or not chemically defined. aluminium oxide. aluminium hydroxide.------Aluminium hydroxide---Aluminum hydroxide, other than pharmaceutical grade;;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Artificial corundum, whether or not chemically defined. aluminium oxide. aluminium hydroxide.------Aluminium hydroxide---Aluminum hydroxide, other than pharmaceutical grade;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
