Country;HS Number;Date from;Date to;Lang 1;Desc 1;Desc 2;Desc 3;Desc 4;Desc 5;Desc 6;Desc 7;Lang 2;Desc 21;Desc 22;Desc 23;Desc 24;Desc 25;Desc 26;Desc 27;Unit of measure;Restriction code;Rate type;Champ24;Champ25;Base rate %;Rate amount;Rate curr;Rate qty;Rate qty uom;Spec App;Cert Ori;Cty Grp
NZ;9808001000B;20250101;99991231;EN;SPECIAL CLASSIFICATION DIVISIONS 98---Ship and aircraft stores exported from New Zealand:---Alcohol and tobacco products intended for passenger and crew consumption en route;;;;;;;ES;SPECIAL CLASSIFICATION DIVISIONS 98---Ship and aircraft stores exported from New Zealand:---Alcohol and tobacco products intended for passenger and crew consumption en route;;;;;;;N/A;;_DNZ1;20250101;99991231;0;0;;;;;;
NZ;9808002000H;20250101;99991231;EN;SPECIAL CLASSIFICATION DIVISIONS 98---Ship and aircraft stores exported from New Zealand:---Other craft stores intended for passenger and crew consumption en route;;;;;;;ES;SPECIAL CLASSIFICATION DIVISIONS 98---Ship and aircraft stores exported from New Zealand:---Other craft stores intended for passenger and crew consumption en route;;;;;;;N/A;;_DNZ1;20250101;99991231;0;0;;;;;;
NZ;9808009000F;20250101;99991231;EN;SPECIAL CLASSIFICATION DIVISIONS 98---Ship and aircraft stores exported from New Zealand:---Other craft stores, including spare and service parts necessary to operate or maintain the craft Notwithstanding individual Tariff classification elsewhere specified within the Tariff of New Zealand * *;;;;;;;ES;SPECIAL CLASSIFICATION DIVISIONS 98---Ship and aircraft stores exported from New Zealand:---Other craft stores, including spare and service parts necessary to operate or maintain the craft Notwithstanding individual Tariff classification elsewhere specified within the Tariff of New Zealand * *;;;;;;;N/A;;_DNZ1;20250101;99991231;0;0;;;;;;
